Designator,Mid X,Mid Y,Rotation,Layer
C1_50,179.499,-52.9974,0.0,top
C1_49,179.499,-62.5974,0.0,top
C1_48,179.499,-72.1974,0.0,top
C1_47,179.499,-81.7974,0.0,top
C1_46,179.499,-91.3974,0.0,top
C1_45,179.499,-100.9974,0.0,top
C1_44,179.499,-110.5974,0.0,top
C1_43,179.499,-120.1974,0.0,top
C1_42,179.499,-129.7974,0.0,top
C1_41,179.499,-139.3974,0.0,top
C1_40,161.649,-52.9974,0.0,top
C1_39,161.649,-62.5974,0.0,top
C1_38,161.649,-72.1974,0.0,top
C1_37,161.649,-81.7974,0.0,top
C1_36,161.649,-91.3974,0.0,top
C1_35,161.649,-100.9974,0.0,top
C1_34,161.649,-110.5974,0.0,top
C1_33,161.649,-120.1974,0.0,top
C1_32,161.649,-129.7974,0.0,top
C1_31,161.649,-139.3974,0.0,top
C1_30,143.799,-52.9974,0.0,top
C1_29,143.799,-62.5974,0.0,top
C1_28,143.799,-72.1974,0.0,top
C1_27,143.799,-81.7974,0.0,top
C1_26,143.799,-91.3974,0.0,top
C1_25,143.799,-100.9974,0.0,top
C1_24,143.799,-110.5974,0.0,top
C1_23,143.799,-120.1974,0.0,top
C1_22,143.799,-129.7974,0.0,top
C1_21,143.799,-139.3974,0.0,top
C1_20,125.949,-52.9974,0.0,top
C1_19,125.949,-62.5974,0.0,top
C1_18,125.949,-72.1974,0.0,top
C1_17,125.949,-81.7974,0.0,top
C1_16,125.949,-91.3974,0.0,top
C1_15,125.949,-100.9974,0.0,top
C1_14,125.949,-110.5974,0.0,top
C1_13,125.949,-120.1974,0.0,top
C1_12,125.949,-129.7974,0.0,top
C1_11,125.949,-139.3974,0.0,top
C1_10,108.099,-52.9974,0.0,top
C1_9,108.099,-62.5974,0.0,top
C1_8,108.099,-72.1974,0.0,top
C1_7,108.099,-81.7974,0.0,top
C1_6,108.099,-91.3974,0.0,top
C1_5,108.099,-100.9974,0.0,top
C1_4,108.099,-110.5974,0.0,top
C1_3,108.099,-120.1974,0.0,top
