Designator,Footprint,Quantity,Value,LCSC Part #
"C1_3, C1_2, C1, C10_3, C10_2, C10, C13_3, C13_2, C13, C2_3, C2_2, C2, C3_3, C3_2, C3, C5_3, C5_2, C5",0805,18,0.1uF,
"C11_3, C11_2, C11, C12_3, C12_2, C12",CP_Elec_8x10.5,6,470uF,
"C4_3, C4_2, C4",0805,3,4.7uF,
"D1_3, D1_2, D1, D2_3, D2_2, D2",0603,6,LED,
"J1_3, J1_2, J1",AMASS_XT30U-M_1x02_P5.0mm_Vertical,3,Conn_01x02_Socket,
"J10_3, J10_2, J10",PinHeader_1x14_P2.54mm_Vertical,3,Conn_01x14_Pin,
"J2_3, J2_2, J2, J9_3, J9_2, J9",PinSocket_1x04_P2.54mm_Vertical,6,Conn_01x04_Socket,
"J3_3, J3_2, J3, J4_3, J4_2, J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,6,Conn_01x02_Pin,
"J5_3, J5_2, J5",TO-252-2,3,Conn_01x03_Pin,
"J7_3, J7_2, J7",HDR-SMD_3P-P2.54-H-M-W13.3-N,3,Conn_01x03_Pin,
"J8_3, J8_2, J8",HDR-SMD_6P-P2.54-H-F-W11.7,3,Conn_01x06_Socket,
"R1_3, R1_2, R1, R2_3, R2_2, R2, R3_3, R3_2, R3, R4_3, R4_2, R4, R5_3, R5_2, R5, R6_3, R6_2, R6, R7_3, R7_2, R7",0603,21,R,
"SW1_3, SW1_2, SW1",SW_Push_SPST_NO_Alps_SKRK,3,SW_Push,
"SW2_3, SW2_2, SW2",SW-TH_XKB_SS-12M11XX,3,SW_SPDT,
"SW3_3, SW3_2, SW3, SW4_3, SW4_2, SW4",SW_SPST_PTS810,6,SW_Push,
"U1_3, U1_2, U1",QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,3,ATmega328P-M,
"U3_3, U3_2, U3, U4_3, U4_2, U4",SOP-8_3.9x4.9mm_P1.27mm,6,~,
"Y1_3, Y1_2, Y1",Crystal_SMD_3215-2Pin_3.2x1.5mm,3,Crystal,
