Designator,Mid X,Mid Y,Rotation,Layer
C1_3,133.919,-39.071,270.0,top
C1_2,133.919,-69.571,270.0,top
C1,133.919,-100.071,270.0,top
C10_3,150.175,-50.755,0.0,top
C10_2,150.175,-81.255,0.0,top
C10,150.175,-111.755,0.0,top
C11_3,158.684,-55.454,90.0,top
C11_2,158.684,-85.954,90.0,top
C11,158.684,-116.454,90.0,top
C12_3,135.824,-55.454,90.0,top
C12_2,135.824,-85.954,90.0,top
C12,135.824,-116.454,90.0,top
C13_3,141.793,-50.755,0.0,top
C13_2,141.793,-81.255,0.0,top
C13,141.793,-111.755,0.0,top
C2_3,156.017,-41.357,90.0,top
C2_2,156.017,-71.857,90.0,top
C2,156.017,-102.357,90.0,top
C3_3,153.985,-41.357,90.0,top
C3_2,153.985,-71.857,90.0,top
C3,153.985,-102.357,90.0,top
C4_3,137.983,-39.071,90.0,top
C4_2,137.983,-69.571,90.0,top
C4,137.983,-100.071,90.0,top
C5_3,135.951,-39.071,90.0,top
C5_2,135.951,-69.571,90.0,top
C5,135.951,-100.071,90.0,top
D1_3,167.701,-36.658,180.0,top
D1_2,167.701,-67.158,180.0,top
D1,167.701,-97.658,180.0,top
D2_3,167.701,-39.071,180.0,top
D2_2,167.701,-69.571,180.0,top
D2,167.701,-100.071,180.0,top
J1_3,135.951,-46.056,0.0,top
J1_2,135.951,-76.556,0.0,top
J1,135.951,-107.056,0.0,top
J10_3,147.381,-33.102,270.0,top
J10_2,147.381,-63.602,270.0,top
J10,147.381,-94.102,270.0,top
J2_3,147.371,-36.76,270.0,top
J2_2,147.371,-67.26,270.0,top
J2,147.371,-97.76,270.0,top
J3_3,151.572,-60.297,180.0,bottom
J3_2,151.572,-90.797,180.0,bottom
J3,151.572,-121.297,180.0,bottom
J4_3,143.063,-60.297,180.0,bottom
J4_2,143.063,-90.797,180.0,bottom
J4,143.063,-121.297,180.0,bottom
J5_3,127.999,-39.3975,0.0,bottom
J5_2,127.999,-69.8975,0.0,bottom
J5,127.999,-100.3975,0.0,bottom
J7_3,135.824,-49.9465,0.0,bottom
J7_2,135.824,-80.4465,0.0,bottom
J7,135.824,-110.9465,0.0,bottom
J8_3,161.2875,-44.298,270.0,bottom
J8_2,161.2875,-74.798,270.0,bottom
J8,161.2875,-105.298,270.0,bottom
J9_3,166.431,-56.353,0.0,top
J9_2,166.431,-86.853,0.0,top
J9,166.431,-117.353,0.0,top
R1_3,157.795,-48.108,0.0,top
R1_2,157.795,-78.608,0.0,top
R1,157.795,-109.108,0.0,top
R2_3,157.795,-45.568,0.0,top
R2_2,157.795,-76.068,0.0,top
R2,157.795,-106.568,0.0,top
R3_3,164.653,-36.658,0.0,top
R3_2,164.653,-67.158,0.0,top
R3,164.653,-97.658,0.0,top
R4_3,127.442,-38.055,270.0,top
R4_2,127.442,-68.555,270.0,top
R4,127.442,-99.055,270.0,top
R5_3,164.653,-43.135,180.0,top
R5_2,164.653,-73.635,180.0,top
R5,164.653,-104.135,180.0,top
R6_3,164.653,-46.945,180.0,top
R6_2,164.653,-77.445,180.0,top
R6,164.653,-107.945,180.0,top
R7_3,164.653,-39.071,0.0,top
R7_2,164.653,-69.571,0.0,top
R7,164.653,-100.071,0.0,top
SW1_3,124.902,-39.325,270.0,top
SW1_2,124.902,-69.825,270.0,top
SW1,124.902,-100.325,270.0,top
SW2_3,126.172,-51.136,270.0,top
SW2_2,126.172,-81.636,270.0,top
SW2,126.172,-112.136,270.0,top
SW3_3,169.225,-41.992,180.0,top
SW3_2,169.225,-72.492,180.0,top
SW3,169.225,-102.992,180.0,top
SW4_3,169.225,-45.802,0.0,top
SW4_2,169.225,-76.302,0.0,top
SW4,169.225,-106.802,0.0,top
U1_3,147.381,-44.151,225.0,top
U1_2,147.381,-74.651,225.0,top
U1,147.381,-105.151,225.0,top
U3_3,151.445,-55.454,180.0,top
U3_2,151.445,-85.954,180.0,top
U3,151.445,-116.454,180.0,top
U4_3,143.063,-55.454,180.0,top
U4_2,143.063,-85.954,180.0,top
U4,143.063,-116.454,180.0,top
Y1_3,152.334,-45.294,45.0,top
Y1_2,152.334,-75.794,45.0,top
Y1,152.334,-106.294,45.0,top
