Comment,Designator,Footprint,LCSC
300,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17661
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2293
4.7k,"R2,R3,R4,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26022
AMS1117-5.0,U2,SOT-223-3_TabPin2,C351450
0.1uF,"C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C62768
10uf,C5,CP_EIA-3216-18_Kemet-A,C7177
10uf,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C84416
22uf,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C86816
TB6612FNG,U1,SSOP-24_5.3x8.2mm_P0.65mm,C88224
Conn_01x03_Pin,J7,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J6,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J5,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,
Arduino_Nano_v3.x,A1,Arduino_Nano,
Conn_01x03_Pin,J2,PinHeader_1x03_P2.54mm_Vertical,
SW_SPDT,SW1,SW_SPDT_PCM12,
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J8,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03_Pin,J9,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x02_Socket,J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Socket,J14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Conn_01x02_Socket,J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
MountingHole,H4,MountingHole_2.2mm_M2,
Conn_01x03_Pin,J12,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
SW_Coded_SH-7010,SW2,Nidec_Copal_SH-7010A,
