Designator,Mid X,Mid Y,Rotation,Layer
A1,164.79,-99.0,90.0,top
C1,116.075,-93.2,0.0,top
C2,126.075,-93.325,0.0,top
C3,126.075,-100.125,0.0,top
C4,116.075,-100.0,0.0,top
C5,116.075,-96.5,0.0,top
C6,126.075,-96.625,0.0,top
J1,105.0,-99.6,270.0,top
J15,110.8,-109.0,90.0,top
J16,129.575,-106.05,0.0,top
J17,119.575,-106.05,0.0,top
J18,144.5,-88.575,270.0,top
L7805/BEC,150.78,-99.0,180.0,bottom
OLED,139.75,-99.0,180.0,top
R1,135.675,-107.575,180.0,top
R2,135.675,-93.325,180.0,top
R3,130.875,-93.325,180.0,top
R4,120.875,-93.325,180.0,top
SERVO,173.665,-110.0,90.0,top
START MODULE,158.455,-109.775,270.0,top
SW2,135.675,-103.375,90.0,top
SW3,135.675,-97.525,90.0,top
SW4,110.9025,-99.8,90.0,top
U2,130.775,-98.475,270.0,top
U3,120.775,-98.475,270.0,top
