Designator,Mid X,Mid Y,Rotation,Layer
Arduino Nano,169.0,-99.5,90.0,top
C1,107.8,-99.5625,90.0,top
C2,111.2,-99.6,90.0,top
C3,114.8,-102.7625,90.0,top
C4,126.8,-102.7625,90.0,top
C5,130.6,-94.2,180.0,top
C6,118.6,-94.2,180.0,top
J1,102.6,-99.5,270.0,top
J15,140.6,-110.5,90.0,top
J18,144.5,-88.575,270.0,top
L7085/StepDownModule,110.8,-98.76,90.0,bottom
MA,130.6,-108.6,0.0,top
MB,118.6,-108.6,0.0,top
OLED,144.0,-99.5,0.0,top
R1,139.275,-106.25,180.0,top
R2,139.275,-92.7,180.0,top
R3,114.8,-98.8,90.0,top
R4,126.8,-98.8,90.0,top
REMOTE,164.645,-110.49,90.0,top
SERVO,177.875,-110.49,90.0,top
SW2,139.275,-102.35,270.0,top
SW3,139.275,-96.6,270.0,top
SW4,107.95,-109.97,0.0,top
U2,118.6,-100.925,270.0,top
U3,130.6,-100.925,270.0,top
